SNX24	XM_046905304#SNX24
ENSGALG00010022171	XM_040646285#FOXP1
ENSGALG00010014515	XM_040671634#ETNK1
ENSGALG00010019967	XM_015287869#CEP170B
ENSGALG00010003412	ENSGALT00010007945#ASB5
ENSGALG00010024678	ENSGALT00010060252#AMOTL2
ENSGALG00010014967	XM_046900273#HNRNPH1
ENSGALG00010000652	XM_046931054#SRD5A1
ENSGALG00010023269	NM_001318979#OPRL1
ENSGALG00010004325	XM_015287676#LTBP2
ENSGALG00010003742	XM_004939919#ZFHX4
ENSGALG00010001227	XM_015282441#ENSGALG00010001227
ENSGALG00010004060	ENSGALT00010009437#ETV1
ENSGALG00010001192	ENSGALT00010002751#ENSGALG00010001192
ENSGALG00010023684	XM_025142388#SLC32A1
ENSGALG00010008143	ENSGALT00010019423#DCTN6
ENSGALG00010018877	NM_001199394#CST7
ENSGALG00010017670	ENSGALT00010042712#FAM179A
ENSGALG00010015132	ENSGALT00010036468#GCNT1
ENSGALG00010015183	NM_001001763#SLC5A7
ENSGALG00010008103	XM_015276622#RBPMS
ENSGALG00010001540	XM_046934606#TRABD
ENSGALG00010013364	ENSGALT00010032183#OTOGL
ENSGALG00010009761	ENSGALT00010023321#PDP2
ENSGALG00010002870	ENSGALT00010006640#FABP5
ENSGALG00010018345	XM_046900576#WDR24
ENSGALG00010018904	XM_015278016#UGP2
ENSGALG00010027080	XM_419261#TBC1D22B
ENSGALG00010012017	NM_001397407#N4BP3
ENSGALG00010024619	ENSGALT00010060075#ENSGALG00010024619
ENSGALG00010024903	ENSGALT00010060822#CASP8
ENSGALG00010029255	ENSGALT00010070727#RAP1GAP2
ENSGALG00010029627	ENSGALT00010071639#PEX12
ENSGALG00010028414	XM_046900012#KBTBD12
ENSGALG00010005908	ENSGALT00010014158#ENSGALG00010005908
ENSGALG00010023942	NM_204856#NEGR1
XM_040654903	XM_040654903#LOC107049257
ENSGALG00010023598	NM_001039597#IL10RA
ENSGALG00010006066	XM_015284131#ARHGAP18
ENSGALG00010027151	ENSGALT00010065825#MICOS13
ENSGALG00010027667	XM_046900115#PTPDC1
ENSGALG00010010680	XM_003640380#ENSGALG00010010680
ENSGALG00010002402	XM_015273423#TXLNG
ENSGALG00010000686	ENSGALT00010001444#ENSGALG00010000686
ENSGALG00010018732	ENSGALT00010045267#ENSGALG00010018732
ENSGALG00010017424	ENSGALT00010042056#APOD
ENSGALG00010012992	ENSGALT00010031171#HARS1
ENSGALG00010024325	ENSGALT00010059323#PCBP2
XM_040705657	XM_025153623#MUC4L
XM_040702846	XM_040702846#LOC112532707
ENSGALG00010019676	ENSGALT00010047482#NEUROD6
ENSGALG00010022226	ENSGALT00010054112#FBRSL1
ENSGALG00010005443	XM_420665#BANK1
ENSGALG00010029241	ENSGALT00010070684#STXBP4
ENSGALG00010005407	XM_040700975#DPH6
ENSGALG00010007146	XM_004944251#ENSGALG00010007146
ENSGALG00010015557	XM_003641084#IRS4
ENSGALG00010008997	ENSGALT00010021393#CHST6
ENSGALG00010008522	XM_001231286#NUDT12
ENSGALG00010021078	XM_040646337#ENSGALG00010021078
XM_046913992	XM_046913992#LOC121109302
ENSGALG00010025416	ENSGALT00010062048#ENSGALG00010025416
ENSGALG00010021039	ENSGALT00010050905#NR2E3
ENSGALG00010025571	ENSGALT00010062385#SRSF3
ENSGALG00010001880	XM_040687922#MTCL1
ENSGALG00010029745	XM_046902669#SHPK
ENSGALG00010030109	XM_015295185#FBF1
ENSGALG00010025564	XM_040648431#RAD9B
ENSGALG00010028543	XM_046904574#ANP32B
ENSGALG00010009039	XM_015280409#SLC36A4
ENSGALG00010027653	NM_204292#WNT7A
ENSGALG00010010300	ENSGALT00010024590#DENND1B
ENSGALG00010028736	NM_205378#NTRK1
ENSGALG00010017389	ENSGALT00010041963#ENSGALG00010017389
ENSGALG00010021575	XM_040704616#ADGRL2
ENSGALG00010021387	ENSGALT00010051877#SLC2A14
ENSGALG00010025960	ENSGALT00010063325#CMKLR2
ENSGALG00010021350	ENSGALT00010051729#CABLES2
ENSGALG00010013480	XM_425583#TBC1D8
ENSGALG00010021038	XM_040704521#PTGS2
ENSGALG00010018378	XM_046929726#ARPP21
ENSGALG00010008221	XM_420476#ENSGALG00010008221
ENSGALG00010018315	XM_015281528#CLASP2
ENSGALG00010009112	ENSGALT00010021740#ENSGALG00010009112
ENSGALG00010003982	NM_001398254#GLCCI1
ENSGALG00010015285	ENSGALT00010036794#ALG13
XM_040697488	XM_040697488#LOC121110167
ENSGALG00010016896	XM_046938672#SPTBN1
ENSGALG00010006735	ENSGALT00010016070#NR3C2
ENSGALG00010007400	XM_040702648#TYMP
ENSGALG00010011578	ENSGALT00010027709#MYLK4
ENSGALG00010016008	XM_015278223#TAF7
ENSGALG00010029388	XM_046901971#ST6GALNAC2
XM_040652975	XM_040652975#LOC101750270
ENSGALG00010001122	ENSGALT00010002552#P2RY14
ENSGALG00010001170	XM_424415#DCAF10
ENSGALG00010026498	XM_040705386#ENSGALG00010026498
ENSGALG00010021744	ENSGALT00010052859#LITAF
ENSGALG00010016696	ENSGALT00010040251#DOK7
ENSGALG00010027522	XM_046901768#PSMD5
ENSGALG00010029577	ENSGALT00010071493#NOG
ENSGALG00010023198	ENSGALT00010056531#PTK6
ENSGALG00010017112	ENSGALT00010041306#LZIC
ENSGALG00010014258	XM_004942525#ENSGALG00010014258
ENSGALG00010017710	ENSGALT00010042821#RAB41
ENSGALG00010000046	XM_413958#TUBGCP4
ENSGALG00010021474	ENSGALT00010052059#PPFIBP2
ENSGALG00010003978	XM_040699367#ANK2
ENSGALG00010006944	ENSGALT00010016500#MAB21L2
ENSGALG00010024755	ENSGALT00010060431#PIGX
ENSGALG00010015149	XM_420272#ENSGALG00010015149
ENSGALG00010027887	ENSGALT00010067592#ERC2
ENSGALG00010016742	ENSGALT00010040359#TRMT12
ENSGALG00010024549	ENSGALT00010059890#GNB1L
ENSGALG00010010936	ENSGALT00010026189#TDRD5
ENSGALG00010017665	NM_001397030#CTBP1
ENSGALG00010005757	XM_046928311#ARHGAP12
ENSGALG00010005246	ENSGALT00010012410#ENSGALG00010005246
ENSGALG00010024220	ENSGALT00010059092#SIAH1
ENSGALG00010004390	XM_426152#PNLDC1
ENSGALG00010010410	XM_025151441#CACNA2D1
ENSGALG00010017088	XM_040700324#ENSGALG00010017088
ENSGALG00010023751	ENSGALT00010057910#PRRG4
ENSGALG00010021509	XM_015288240#DDIT4
ENSGALG00010005406	ENSGALT00010012856#FFAR2L
ENSGALG00010029706	ENSGALT00010071853#SSH2
ENSGALG00010017148	XM_025151262#MOK
ENSGALG00010020809	XM_046943077#ENSGALG00010020809
ENSGALG00010025738	XM_040652908#SOX13
ENSGALG00010004808	ENSGALT00010011197#THEMIS
ENSGALG00010015778	XM_015278260#PABIR3
ENSGALG00010013175	XM_046910110#HIPK2
ENSGALG00010004841	ENSGALT00010011325#AKAP9
ENSGALG00010020094	ENSGALT00010048535#CLEC3B
ENSGALG00010017343	XM_003641764#DLG1
ENSGALG00010010517	XM_004935871#STMN4
XM_040696372	XM_040696372#LOC121109671
ENSGALG00010027497	ENSGALT00010066642#KCNT1
ENSGALG00010005504	XM_040697642#LATS1
ENSGALG00010004094	ENSGALT00010009534#DGKB
ENSGALG00010004841	ENSGALT00010011338#AKAP9
ENSGALG00010012362	XM_015289149#COL6A3
ENSGALG00010019982	ENSGALT00010048690#PLCE1
ENSGALG00010004841	XM_046918351#AKAP9
XM_040654416	XM_040654418#LOC107049967
ENSGALG00010013334	XM_004947668#SH3BGRL3
ENSGALG00010029192	ENSGALT00010070549#DTX2
ENSGALG00010010196	ENSGALT00010024260#EFCAB10
ENSGALG00010023204	ENSGALT00010056557#SRGN
ENSGALG00010022027	XM_004934367#EIF4ENIF1
ENSGALG00010027254	ENSGALT00010066083#INSR
ENSGALG00010016111	XM_040651637#EPB41
ENSGALG00010027958	XM_015293470#ENSGALG00010027958
ENSGALG00010015861	ENSGALT00010038213#PPP2CA
ENSGALG00010020144	XM_040701642#ENSGALG00010020144
ENSGALG00010020118	ENSGALT00010048589#GNB1
ENSGALG00010004231	XM_040691783#ARMC3
ENSGALG00010001694	XM_040648786#ENSGALG00010001694
XM_040657005	XM_040657008#LOC121108855
ENSGALG00010002807	ENSGALT00010006519#P2RY6
ENSGALG00010005315	ENSGALT00010012603#ENSGALG00010005315
ENSGALG00010028191	XM_040653776#KLHL26
ENSGALG00010007989	ENSGALT00010019044#SPG7
ENSGALG00010027527	ENSGALT00010066674#ENSGALG00010027527
ENSGALG00010020595	ENSGALT00010049713#ZFYVE27
ENSGALG00010018608	ENSGALT00010045040#TRIM8
ENSGALG00010024124	ENSGALT00010058836#DIDO1
ENSGALG00010006064	ENSGALT00010014506#DMTF1
ENSGALG00010029624	ENSGALT00010071628#RASL10B
ENSGALG00010017664	XM_025148863#ENSGALG00010017664
ENSGALG00010021062	XM_046899222#MYO9A
ENSGALG00010026553	ENSGALT00010064509#PLPP3
ENSGALG00010027563	ENSGALT00010066763#WDR77
ENSGALG00010014876	ENSGALT00010035946#PCNT
ENSGALG00010002436	ENSGALT00010005615#ENSGALG00010002436
ENSGALG00010025291	ENSGALT00010061736#DUS2
ENSGALG00010015443	XM_015278599#PAK3
ENSGALG00010012387	XM_046905533#ERBIN
ENSGALG00010022029	ENSGALT00010053559#ENSGALG00010022029
ENSGALG00010026492	XM_015275323#SPECC1L
ENSGALG00010015064	ENSGALT00010036249#RFK
ENSGALG00010025985	ENSGALT00010063375#CHCHD10
ENSGALG00010011340	ENSGALT00010027122#PKNOX1
ENSGALG00010019001	NM_204669#ALDH1A3
ENSGALG00010021493	ENSGALT00010052127#UNC93B1
ENSGALG00010021153	XM_046944830#PTPRF
XM_046904766	XM_046904766#LOC124417452
ENSGALG00010019243	ENSGALT00010046516#SERTAD2
ENSGALG00010027397	ENSGALT00010066427#RFX5
ENSGALG00010018430	ENSGALT00010044589#LOXL4
ENSGALG00010009777	ENSGALT00010023368#ST3GAL1
ENSGALG00010009069	XM_420483#GRID2
ENSGALG00010010965	NM_001397084#BAZ2B
ENSGALG00010008880	ENSGALT00010021083#FMN2
ENSGALG00010015193	ENSGALT00010036605#LYPLA2
ENSGALG00010010007	XM_040656619#CTIF
ENSGALG00010018016	ENSGALT00010043547#IFIT5
ENSGALG00010007770	ENSGALT00010018474#ENSGALG00010007770
ENSGALG00010011713	ENSGALT00010028015#AVPR1A
ENSGALG00010029146	XM_046901722#NEK6
ENSGALG00010008290	ENSGALT00010019847#FAM13A
ENSGALG00010014624	ENSGALT00010035088#GPRC6A
ENSGALG00010029699	XM_025142080#ANKRD13B
ENSGALG00010017163	ENSGALT00010041410#CDV3
ENSGALG00010025626	ENSGALT00010062542#ENSGALG00010025626
ENSGALG00010027365	XM_025143915#PLEKHA6
ENSGALG00010001441	ENSGALT00010003324#HMGCLL1
ENSGALG00010011630	XM_015293624#DELE1
ENSGALG00010005520	XM_015274914#ZIC2
ENSGALG00010008183	ENSGALT00010019546#ALG10
ENSGALG00010012324	XM_040668142#ENSGALG00010012324
ENSGALG00010000039	NM_204110#PDIA3
ENSGALG00010021313	XM_046901033#KPNA7
ENSGALG00010007987	XM_429964#ENSGALG00010007987
ENSGALG00010002238	ENSGALT00010005054#ENSGALG00010002238
ENSGALG00010007415	XM_004937383#ENSGALG00010007415
ENSGALG00010021020	NM_001031171#ZDHHC13
ENSGALG00010014936	XM_004937777#FOXRED2
ENSGALG00010004542	ENSGALT00010010594#ERMARD
ENSGALG00010007169	ENSGALT00010017093#QPCT
ENSGALG00010011622	ENSGALT00010027779#BACH1
ENSGALG00010006311	XM_025151061#ABCD4
ENSGALG00010022724	NM_001199521#LUZP2
ENSGALG00010021570	XM_015292293#KATNB1
ENSGALG00010028671	XM_015298671#CADM3
ENSGALG00010010291	ENSGALT00010024573#TCF20
ENSGALG00010018092	XM_040700492#ENSGALG00010018092
ENSGALG00010029445	XM_046902127#SPHK1
ENSGALG00010029263	ENSGALT00010070754#TOB1
ENSGALG00010015570	XM_046940882#LIMCH1
ENSGALG00010012407	ENSGALT00010029718#ATF4
ENSGALG00010025581	ENSGALT00010062413#ENSGALG00010025581
ENSGALG00010029162	XM_025141904#ELN
ENSGALG00010021231	ENSGALT00010051459#STN1
ENSGALG00010000818	XM_003640556#KLF12
ENSGALG00010023153	ENSGALT00010056428#ENSGALG00010023153
ENSGALG00010016518	ENSGALT00010039785#TMEM42
XM_040651607	XM_040651607#LOC121107430
ENSGALG00010022055	XM_015296338#E2F1
ENSGALG00010009199	ENSGALT00010021955#SEMA4D
ENSGALG00010018574	ENSGALT00010044946#ENSGALG00010018574
ENSGALG00010020749	ENSGALT00010050163#ENSGALG00010020749
ENSGALG00010028165	ENSGALT00010068258#NFIC
ENSGALG00010012188	ENSGALT00010029228#ADAMTS6
ENSGALG00010020975	ENSGALT00010050699#HCCS
ENSGALG00010021848	ENSGALT00010053157#LARGE2
ENSGALG00010018325	ENSGALT00010044223#ENSGALG00010018325
ENSGALG00010023314	XM_046904400#CYB561
ENSGALG00010010317	ENSGALT00010024658#ENSGALG00010010317
ENSGALG00010007504	ENSGALT00010017994#TMPRSS15
ENSGALG00010005045	ENSGALT00010011905#UTRN
ENSGALG00010019158	XM_420264#ENSGALG00010019158
ENSGALG00010003823	XM_040700215#PTPN13
ENSGALG00010013794	ENSGALT00010033125#GTF3C6
ENSGALG00010009590	ENSGALT00010022849#ENSGALG00010009590
ENSGALG00010029652	ENSGALT00010071691#LRRC59
ENSGALG00010007858	ENSGALT00010018707#VSTM2A
ENSGALG00010003299	ENSGALT00010007733#RAD23A
ENSGALG00010027664	ENSGALT00010067067#TREMB1
ENSGALG00010002935	XM_003640483#SYTL5
ENSGALG00010004935	XM_040694001#SVIL
ENSGALG00010025559	ENSGALT00010062354#SLC6A17
ENSGALG00010008442	XM_040697697#WDR64
ENSGALG00010011466	XM_046941138#MTMR1
ENSGALG00010024659	XM_040704670#BEND5
ENSGALG00010027370	ENSGALT00010066371#NUP210L
ENSGALG00010016111	XM_040651654#EPB41
ENSGALG00010021352	ENSGALT00010051747#CFAP43
ENSGALG00010017389	XM_040700423#ENSGALG00010017389
ENSGALG00010021817	XM_040705067#EVI5
XM_040668277	XM_040668277#LOC121106538
ENSGALG00010025562	XM_040652144#GRAMD1B
ENSGALG00010024633	ENSGALT00010060120#NRGN
XM_046902537	XM_004949979#ANGPTL6
ENSGALG00010015055	XM_046902799#ZNF335
ENSGALG00010027407	ENSGALT00010066458#ENSGALG00010027407
ENSGALG00010001857	XM_015281456#HNRNPA2B1
ENSGALG00010021157	ENSGALT00010051237#ENSGALG00010021157
ENSGALG00010022135	ENSGALT00010053857#CHST1
XM_040698295	XM_040698295#LOC121113191
ENSGALG00010020562	ENSGALT00010049642#LRRN1
ENSGALG00010024054	XM_001231585#ENSGALG00010024054
ENSGALG00010012362	ENSGALT00010029636#COL6A3
ENSGALG00010012838	XM_040703221#C2orf88
ENSGALG00010003895	XM_040695468#THSD7A
ENSGALG00010012954	XM_025148084#RIMS2
ENSGALG00010023107	XM_025150957#ZC3HAV1
ENSGALG00010021146	ENSGALT00010051226#AP5Z1
ENSGALG00010006201	ENSGALT00010014763#SSTR1
ENSGALG00010022928	ENSGALT00010055802#RNF111
ENSGALG00010022290	ENSGALT00010054293#NEXN
ENSGALG00010024579	ENSGALT00010059959#ZNF740
ENSGALG00010016463	XM_040655928#FREM1
ENSGALG00010027867	XM_015298589#UBAP2L
ENSGALG00010024149	ENSGALT00010058893#TCIRG1
ENSGALG00010023208	XM_417908#BACE1
ENSGALG00010009166	XM_025150421#CLGN
ENSGALG00010002465	ENSGALT00010005686#ENSGALG00010002465
ENSGALG00010029580	ENSGALT00010071499#P2RX1
ENSGALG00010019772	ENSGALT00010047734#ENSGALG00010019772
ENSGALG00010009376	ENSGALT00010022350#CDO1
ENSGALG00010028917	XM_001235477#NR6A1
ENSGALG00010009627	ENSGALT00010022965#IL17C
ENSGALG00010006126	ENSGALT00010014635#ENSGALG00010006126
ENSGALG00010024553	NM_001012936#ASB8
ENSGALG00010025268	ENSGALT00010061678#ZBTB39
ENSGALG00010024548	ENSGALT00010059879#CDC6
ENSGALG00010024911	NM_001031215#CAT
ENSGALG00010025946	ENSGALT00010063257#KRT5
ENSGALG00010017088	XM_040700320#ENSGALG00010017088
ENSGALG00010028426	ENSGALT00010068847#GPR21
ENSGALG00010006083	XM_015282014#CACNB2
ENSGALG00010027895	XM_025143574#LIX1L
ENSGALG00010017662	XM_040688716#GOLGA4
ENSGALG00010029185	ENSGALT00010070532#ENSGALG00010029185
XM_040698139	XM_040698139#LOC121113182
ENSGALG00010021072	ENSGALT00010051007#ENSGALG00010021072
ENSGALG00010011434	ENSGALT00010027356#NPL
ENSGALG00010009991	ENSGALT00010023827#LHFPL3
ENSGALG00010021188	XM_004945156#TNRC18
ENSGALG00010011304	ENSGALT00010026993#COMMD5
ENSGALG00010018627	ENSGALT00010045091#MYLK
ENSGALG00010027407	XM_025143601#ENSGALG00010027407
ENSGALG00010020921	XM_015288581#LDB1
ENSGALG00010021749	XM_040704369#CLASP1
ENSGALG00010016218	XM_015285447#N4BP2
ENSGALG00010004983	XM_004939294#CLXN
ENSGALG00010020177	ENSGALT00010048739#KCNG3
ENSGALG00010010825	ENSGALT00010025904#MAK
ENSGALG00010024314	XM_046899445#ITFG1
ENSGALG00010028475	ENSGALT00010068949#AMBP
ENSGALG00010018519	ENSGALT00010044816#OGDH
ENSGALG00010011972	ENSGALT00010028656#IPO11
ENSGALG00010006575	XM_001234273#SSBP2
XM_046935805	XM_040695620#LOC121109775
ENSGALG00010003408	ENSGALT00010007932#ENSGALG00010003408
XM_040653987	XM_040653987#LOC121107811
ENSGALG00010028589	XM_004945862#PHYHD1
ENSGALG00010016807	ENSGALT00010040544#VSIG4
ENSGALG00010028170	ENSGALT00010068261#COPE
ENSGALG00010028108	XM_040652464#IQGAP3
ENSGALG00010005427	ENSGALT00010012921#ENSGALG00010005427
ENSGALG00010014737	ENSGALT00010035402#RMI1
ENSGALG00010006580	ENSGALT00010015689#ALDH6A1
ENSGALG00010013981	ENSGALT00010033528#RLF
ENSGALG00010023720	NM_001389575#SCAMP5
ENSGALG00010023142	XM_040653449#TLK2
ENSGALG00010021241	ENSGALT00010051485#TMEM43
ENSGALG00010023287	ENSGALT00010056795#RGS19
ENSGALG00010017453	ENSGALT00010042153#PPP1R2
ENSGALG00010014850	ENSGALT00010035730#ENSGALG00010014850
ENSGALG00010004326	XM_040654216#ENSGALG00010004326
ENSGALG00010012045	ENSGALT00010028846#ENSGALG00010012045
ENSGALG00010005232	NM_001397222#GATA3
ENSGALG00010029625	XM_040649749#PECAM1
ENSGALG00010021638	XM_015296348#SRC
ENSGALG00010014726	ENSGALT00010035367#PWP2
ENSGALG00010009560	ENSGALT00010022792#RAB24
ENSGALG00010016809	ENSGALT00010040568#SYTL1
ENSGALG00010024999	ENSGALT00010061035#ENSGALG00010024999
ENSGALG00010004296	XM_015282599#ENSGALG00010004296
ENSGALG00010016597	XM_015285497#FRYL
ENSGALG00010017675	XM_040705682#ENSGALG00010017675
ENSGALG00010001196	ENSGALT00010002763#LSMEM1
ENSGALG00010005245	XM_015282029#KIAA1217
ENSGALG00010021994	ENSGALT00010053484#ENSGALG00010021994
ENSGALG00010025250	XM_046944912#GLIS1
ENSGALG00010008394	ENSGALT00010020095#CD2AP
ENSGALG00010029360	XM_015295696#ACACA
ENSGALG00010001235	XM_025147805#CCDC102B
ENSGALG00010021067	XM_015289718#SLC4A10
ENSGALG00010001504	ENSGALT00010003479#RBMS3
ENSGALG00010013523	ENSGALT00010032533#TMEM178B
ENSGALG00010025426	ENSGALT00010062096#ENSGALG00010025426
ENSGALG00010008198	ENSGALT00010019616#GLRB
ENSGALG00010003489	XM_046930318#SGCE
XM_025145791	XM_025145791#LOC101749673
ENSGALG00010020960	XM_001234357#CLEC19A
ENSGALG00010020602	ENSGALT00010049722#DENND2B
ENSGALG00010009056	ENSGALT00010021560#MTNR1B
ENSGALG00010021111	ENSGALT00010051105#AVEN
ENSGALG00010018467	XM_046942734#TLX1
ENSGALG00010020046	ENSGALT00010048435#BDNF
ENSGALG00010005333	XM_040663912#PLXNA4
ENSGALG00010024806	XM_015292436#ANKRD27
ENSGALG00010006245	ENSGALT00010014869#PFKFB3
ENSGALG00010002365	ENSGALT00010005375#RAI2
ENSGALG00010014142	XM_046939639#PPIL6
ENSGALG00010001707	XM_040702914#ENSGALG00010001707
ENSGALG00010022226	XM_040648308#FBRSL1
ENSGALG00010009728	XM_004936149#CCDC149
ENSGALG00010020971	ENSGALT00010050682#TMEM51
ENSGALG00010029261	ENSGALT00010070747#IFT22
ENSGALG00010018339	ENSGALT00010044262#FAM76A
ENSGALG00010016086	ENSGALT00010038692#TDRD9
ENSGALG00010016603	ENSGALT00010040039#ENSGALG00010016603
ENSGALG00010025920	XM_046904414#GTSF1
ENSGALG00010010111	XM_015284818#CNOT4
ENSGALG00010019246	ENSGALT00010046526#IL17RC
ENSGALG00010025505	XM_046943464#ENSGALG00010025505
ENSGALG00010027776	ENSGALT00010067310#TKT
ENSGALG00010028457	ENSGALT00010068915#KANK3
ENSGALG00010002441	XM_046940119#USO1
ENSGALG00010001854	ENSGALT00010004212#CHRDL2
ENSGALG00010027865	NM_001025441#SELENOK
ENSGALG00010023643	ENSGALT00010057577#SCN4B
ENSGALG00010027701	ENSGALT00010067135#NHLH1
ENSGALG00010019011	ENSGALT00010046020#VIL1
ENSGALG00010008038	ENSGALT00010019192#WRN
ENSGALG00010021526	ENSGALT00010052215#KCNJ12
ENSGALG00010008488	ENSGALT00010020286#CCSER1
XM_040656320	XM_040656320#LHFPL2
ENSGALG00010012393	XM_025144550#ENSGALG00010012393
ENSGALG00010029373	XM_046902314#GATSL2
ENSGALG00010001632	ENSGALT00010003737#FANCB
ENSGALG00010010473	XM_001234475#TRIM35
ENSGALG00010022737	ENSGALT00010055288#CYLD
ENSGALG00010002446	XM_025149009#RIMS1
ENSGALG00010003914	ENSGALT00010009061#CAMK2D
ENSGALG00010028890	XM_025156093#ENSGALG00010028890
ENSGALG00010010577	XM_040704490#PBX1
ENSGALG00010024521	ENSGALT00010059820#HEPACAM
ENSGALG00010002378	ENSGALT00010005444#ENSGALG00010002378
ENSGALG00010019050	NM_001396440#TNS1
XM_040699247	XM_040699249#LOC771657
ENSGALG00010020362	XM_046903396#CDS2
ENSGALG00010001208	ENSGALT00010002790#MOV10L1
ENSGALG00010006657	ENSGALT00010015934#PDS5B
ENSGALG00010021612	ENSGALT00010052467#BCS1L
ENSGALG00010011421	XM_015300708#ENSGALG00010011421
ENSGALG00010025326	ENSGALT00010061814#ENSGALG00010025326
ENSGALG00010004187	ENSGALT00010009778#ARFGEF1
ENSGALG00010009127	XM_040698875#SCOC
ENSGALG00010009668	NM_205094#TFAP2A
ENSGALG00010027830	XM_046899820#CACNA1D
XM_040647022	XM_040647022#LOC121106709
ENSGALG00010005324	ENSGALT00010012632#CENPJ
ENSGALG00010007819	ENSGALT00010018625#NRIP1
ENSGALG00010008219	ENSGALT00010019654#NIP7
ENSGALG00010004841	ENSGALT00010011356#AKAP9
ENSGALG00010015614	ENSGALT00010037581#ATG2B
ENSGALG00010018581	ENSGALT00010044983#SUFU
ENSGALG00010003733	ENSGALT00010008635#STAU2
ENSGALG00010011101	XM_025154879#ENSGALG00010011101
ENSGALG00010020186	XM_015287132#MGA
ENSGALG00010015573	XM_417735#MAN1C1
ENSGALG00010020649	NM_205274#MYH11
ENSGALG00010007845	ENSGALT00010018665#TFAP2B
ENSGALG00010016470	ENSGALT00010039679#TNIP1
ENSGALG00010015782	ENSGALT00010037999#ATG4A
ENSGALG00010014643	XM_426702#CLDN16
ENSGALG00010023689	XM_046941330#WT1
XM_040695997	XM_040695997#LOC121113087
ENSGALG00010029162	XM_040650032#ELN
ENSGALG00010005230	ENSGALT00010012377#ENSGALG00010005230
ENSGALG00010028099	ENSGALT00010068087#PCASP2
ENSGALG00010026402	ENSGALT00010064241#TFEB
ENSGALG00010004481	ENSGALT00010010457#ZNF704
ENSGALG00010012063	XM_040655767#PTPRD
ENSGALG00010020043	ENSGALT00010048419#ENSGALG00010020043
ENSGALG00010005656	XM_420491#CYP2U1
ENSGALG00010013265	XM_025153181#PACS2
ENSGALG00010017751	ENSGALT00010042908#ST3GAL5
ENSGALG00010025170	ENSGALT00010061393#COMMD9
ENSGALG00010009332	ENSGALT00010022217#ENSGALG00010009332
ENSGALG00010003714	XM_040697172#ORC3
ENSGALG00010001773	XM_046916896#NRCAM
ENSGALG00010012159	NM_001006245#WASHC1
ENSGALG00010017595	ENSGALT00010042541#CCNF
ENSGALG00010012163	NM_001397794#PDP1
ENSGALG00010012231	XM_040700166#ENSGALG00010012231
ENSGALG00010022930	ENSGALT00010055808#GTF2B
ENSGALG00010004365	XM_015282828#TPD52
XM_040663976	XM_040663976#LOC107054362
XM_040646469	XM_040646469#LOC121106617
ENSGALG00010014912	XM_422723#ENSGALG00010014912
ENSGALG00010020720	XM_040651574#ENSGALG00010020720
ENSGALG00010006120	ENSGALT00010014613#MOGS
ENSGALG00010027153	ENSGALT00010065831#ENSGALG00010027153
ENSGALG00010019591	ENSGALT00010047254#ENSGALG00010019591
ENSGALG00010013666	ENSGALT00010032835#COX7B
ENSGALG00010001225	ENSGALT00010002832#SOCS6
ENSGALG00010010407	NM_204792#SOX10
ENSGALG00010004689	XM_040647599#BBX
XM_040654787	XM_040654787#LOC121108068
ENSGALG00010027537	ENSGALT00010066695#SGTA
ENSGALG00010021734	ENSGALT00010052843#PARD3B
ENSGALG00010019617	XM_040700769#ANO3
ENSGALG00010027077	XM_046900178#ARF4
ENSGALG00010022619	XM_040702015#MADD
ENSGALG00010018395	ENSGALT00010044444#MED12
ENSGALG00010022248	ENSGALT00010054151#FIGNL2
ENSGALG00010025720	ENSGALT00010062768#PHETA1
ENSGALG00010017491	NM_001282330#CCDC28B
ENSGALG00010027896	ENSGALT00010067617#TOR4A
XM_046935805	XM_040695635#LOC121109775
ENSGALG00010023124	ENSGALT00010056361#NSUN4
ENSGALG00010022228	XM_040704644#FUBP1
ENSGALG00010017780	NM_001277796#TAF9
ENSGALG00010027100	ENSGALT00010065680#MIER2
ENSGALG00010015845	ENSGALT00010038161#SAP30L
ENSGALG00010022801	XM_046903014#LSM14B
ENSGALG00010025929	ENSGALT00010063208#NELFE
ENSGALG00010026184	NM_001257298#NUDT3
ENSGALG00010023199	ENSGALT00010056545#RPS13
ENSGALG00010025575	XM_040705882#TRPM2
ENSGALG00010009320	ENSGALT00010022194#GPR20
ENSGALG00010020666	XM_046903284#TMCO4
XM_040655087	XM_040655087#LOC121106483
ENSGALG00010018007	XM_046941163#DNAAF9
ENSGALG00010027821	ENSGALT00010067414#NMRK2
ENSGALG00010003136	XM_040660085#NUP98
ENSGALG00010016168	NM_001397213#PLIN2
ENSGALG00010021738	ENSGALT00010052833#PRDM11
ENSGALG00010006843	XM_421302#STON2
ENSGALG00010013777	ENSGALT00010033090#CPLANE1
ENSGALG00010011357	XM_025152719#UNC80
ENSGALG00010024480	ENSGALT00010059719#CDC45
ENSGALG00010000741	ENSGALT00010001591#FAM105A
ENSGALG00010017945	NM_001398452#CYP2AB1
ENSGALG00010020393	ENSGALT00010049298#SHISA9
ENSGALG00010004917	XM_015287724#ENSGALG00010004917
ENSGALG00010016411	ENSGALT00010039539#CTSH
ENSGALG00010017452	XM_040702149#ARMH4
ENSGALG00010013563	ENSGALT00010032622#FKBP1A
ENSGALG00010023587	XM_004944134#SLC12A3
ENSGALG00010019277	ENSGALT00010046605#IGFBP5
ENSGALG00010011096	ENSGALT00010026580#LDB2
